Timeframe,Regime,Net Return,Max Drawdown,Sharpe Ratio,Total Trades,Win Rate
1h,2022 Bear Market,-22.03%,-24.23%,-1.80,152,30.9%
1h,2023-2024 Bull Market,2.14%,-30.09%,0.15,463,35.9%
1h,2025-2026 Recent Cycle,2.88%,-14.39%,0.20,284,38.7%
1h,Full Period,-22.37%,-40.00%,-0.27,899,35.9%
4h,2022 Bear Market,-18.58%,-23.86%,-1.27,42,16.7%
4h,2023-2024 Bull Market,26.85%,-21.60%,0.70,147,36.1%
4h,2025-2026 Recent Cycle,3.36%,-10.60%,0.23,55,41.8%
4h,Full Period,9.43%,-33.59%,0.20,244,34.0%
1d,2022 Bear Market,-1.05%,-4.19%,-0.25,1,0.0%
1d,2023-2024 Bull Market,30.16%,-17.88%,0.67,47,34.0%
1d,2025-2026 Recent Cycle,-6.95%,-9.59%,-0.54,5,40.0%
1d,Full Period,23.10%,-22.54%,0.36,53,34.0%
